Depth,CALI,CGR,DT,ILD,NPHI,PEF,PHIE,RHOB,RT,SGR,SW,Φda,ΦN,ΦND,Vpreal,ΔVp
3166.22,8.75,6.595000000000001,71.645,73.975,0.18,3.665,0.13,2.575,75.575,43.7,0.11499999999999999,0.1486486486486487,0.18,0.16507689695808797,4.254311120739435,1.0373867424139607
3166.37,8.76,5.895,71.6,78.035,0.18,3.705,0.125,2.585,80.02000000000001,44.36,0.12,0.1432432432432433,0.18,0.16267006377250393,4.256983240223464,1.03880602931038
3166.52,8.765,5.8100000000000005,71.64,83.08000000000001,0.175,3.75,0.12,2.59,85.0,46.855000000000004,0.12,0.14054054054054066,0.175,0.15872373558728842,4.254607691540303,1.0154749337067206
3166.67,8.79,6.365,71.73,87.96000000000001,0.17,3.795,0.12,2.59,89.35499999999999,50.885000000000005,0.11499999999999999,0.14054054054054066,0.17,0.15596737404891345,4.24927015334554,0.9906276428179202
3166.82,8.815000000000001,7.220000000000001,71.855,91.50999999999999,0.17,3.84,0.12,2.59,92.285,55.705,0.11,0.14054054054054066,0.17,0.15596737404891345,4.241880621608335,0.9868477941460345
3166.97,8.825,7.795,72.04,93.49000000000001,0.165,3.8899999999999997,0.12,2.59,93.72999999999999,60.405,0.11499999999999999,0.14054054054054066,0.165,0.15327615306142764,4.230992651957479,0.9588764773566834
3167.12,8.83,7.715,72.33500000000001,94.11,0.16,3.96,0.11499999999999999,2.59,93.87,64.14500000000001,0.12,0.14054054054054066,0.16,0.15058493207394183,4.2137553566125,0.9278966327433626
3167.27,8.85,6.984999999999999,72.74,93.5,0.155,4.045,0.11,2.59,93.675,66.525,0.125,0.14054054054054066,0.155,0.1479660887754062,4.1903050338200725,0.8938943167527889
3167.42,8.86,5.8149999999999995,73.155,93.945,0.14,4.145,0.10500000000000001,2.5949999999999998,95.39,67.67500000000001,0.135,0.13783783783783787,0.14,0.13896983751348035,4.166525400925627,0.8134610125164015
3167.57,8.85,4.535,73.5,97.62,0.125,4.255,0.095,2.6,98.69,67.95,0.14500000000000002,0.13513513513513511,0.125,0.1301921308691031,4.146956047297157,0.7341410309327783
3167.72,8.85,3.41,73.685,100.33500000000001,0.12,4.359999999999999,0.09,2.6,100.54499999999999,67.68,0.155,0.13513513513513511,0.12,0.12779183218811607,4.136528041922262,0.7057487707493961
